"parameter";"value"

"ag_biomass_max";"193.01"
"ag_biomass_min";"8.87"
"ag_v_max";"12.825"
"ag_k_m";"12.05"
"ag_gamma";"0.0144"

"bg_biomass_max";"933.03"
"bg_biomass_min";"275.89"
"bg_v_max";"28.8125"
"bg_k_m";"366.0125"
"bg_gamma";"0.0082"

"seagrass_thres";"-0.25"
"seagrass_slope";"2"
"seagrass_slough";"0.0001"

"nutrients_diffusion";"0.6666667"
"nutrients_output";"0.0"

"detritus_mineralization";"0.0001"
"detritus_diffusion";"0.3333333"
"detritus_fish_decomp";"0.5"
"detritus_fish_diffusion";"0.3333333"

"move_mean";"8.0"
"move_var";"4.0"
"move_border";"0.0"
"move_reef";"0.0"
"move_return";"0.0"

"pop_a";"0.02566176"
"pop_b";"2.956776"
"pop_k";"0.2"
"pop_linf";"41.6"
"pop_n_body";"0.02999"

"pop_reserves_max";"0.05"
"pop_reserves_thres_lo";0.0
"pop_reserves_thres_hi";0.0
"pop_reserves_consump";"1.0"

"resp_intercept";"0.0108"
"resp_slope";"-0.2"
"resp_temp_low";"2.1"
"resp_temp_optm";"36"
"resp_temp_max";"40"
